target,lag_group,A_alpha,B_raw_alpha,B_rank_alpha,C_conservative_alpha,C_pca50_alpha,D_momentum,E_hgbr
target_0,1,1000.0,100.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_1,1,1000.0,10.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_2,1,1000.0,0.1,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_3,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_4,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_5,1,1000.0,100.0,0.01,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_6,1,1000.0,10000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_7,1,1000.0,100.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_8,1,1000.0,10000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_9,1,1000.0,1000.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_10,1,1000.0,100000.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_11,1,1000.0,10000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_12,1,1000.0,100.0,0.0001,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_13,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_14,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_15,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_16,1,1000.0,100.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_17,1,1000.0,100000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_18,1,1000.0,100.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_19,1,1000.0,1000.0,100000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_20,1,1000.0,1000.0,10.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_21,1,1000.0,0.0001,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_22,1,1000.0,1000.0,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_23,1,1000.0,10000.0,100.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_24,1,1000.0,100.0,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_25,1,1000.0,0.01,10000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_26,1,1000.0,100000.0,10.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
target_27,1,1000.0,0.1,1000.0,1e4 (fixed),10000.0,persistence (no alpha),"max_iter=80, max_leaf_nodes=15 (fixed)"
